Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K)
2020,Jan.,1,1,583.10,MZ06,MZ06_Chiputo,Tete,FUNAE,TM6,31.67,-14.97,60.00,0.67,0.44,0.12,0.28,2.83,1015.32,2.57,0.00114,306.09
2020,Jan.,2,2,368.60,MZ07,MZ06_Chiputo,Tete,FUNAE,TM7,31.67,-14.97,60.00,0.67,0.44,0.11,0.24,2.43,1015.29,2.57,0.00114,306.69
2020,Jan.,3,3,430.60,MZ08,MZ06_Chiputo,Tete,FUNAE,TM8,31.67,-14.97,60.00,0.67,0.44,0.04,0.10,1.49,1015.27,2.57,0.00114,307.09
2020,Jan.,4,4,200.30,MZ09,MZ06_Chiputo,Tete,FUNAE,TM9,31.67,-14.97,60.00,0.67,0.44,0.12,0.25,2.52,1015.24,2.57,0.00114,307.29
2020,Jan.,5,5,308.10,MZ10,MZ06_Chiputo,Tete,FUNAE,TM10,31.67,-14.97,60.00,0.67,0.44,0.06,0.13,3.03,1015.22,2.57,0.00114,307.59
2020,Jan.,6,6,242.80,MZ11,MZ06_Chiputo,Tete,FUNAE,TM11,31.67,-14.97,60.00,0.67,0.44,0.15,0.30,2.76,1014.83,2.57,0.00114,305.19
2020,Jan.,7,7,208.40,MZ12,MZ06_Chiputo,Tete,FUNAE,TM12,31.67,-14.97,60.00,0.67,0.44,0.13,0.29,2.33,1014.81,2.57,0.00114,305.69
2020,Jan.,8,8,273.40,MZ13,MZ06_Chiputo,Tete,FUNAE,TM13,31.67,-14.97,60.00,0.67,0.44,0.09,0.20,1.85,1014.79,2.57,0.00114,306.19
2020,Jan.,9,9,224.40,MZ14,MZ06_Chiputo,Tete,FUNAE,TM14,31.67,-14.97,60.00,0.67,0.44,0.07,0.17,1.52,1014.76,2.57,0.00114,306.59
2020,Jan.,10,10,384.90,MZ15,MZ06_Chiputo,Tete,FUNAE,TM15,31.67,-14.97,60.00,0.67,0.44,0.07,0.18,1.27,1014.73,2.57,0.00114,307.19
2020,Jan.,11,11,383.80,MZ16,MZ06_Chiputo,Tete,FUNAE,TM16,31.67,-14.97,60.00,0.67,0.44,0.08,0.18,2.05,1014.67,2.57,0.00114,307.89
2020,Jan.,12,12,380.40,MZ17,MZ06_Chiputo,Tete,FUNAE,TM17,31.67,-14.97,60.00,0.67,0.44,0.12,0.24,2.34,1014.61,2.57,0.00114,307.89
2020,Jan.,13,13,351.40,MZ18,MZ06_Chiputo,Tete,FUNAE,TM18,31.67,-14.97,60.00,0.67,0.44,0.10,0.19,2.20,1014.59,2.57,0.00114,307.99
2020,Jan.,14,14,223.10,MZ19,MZ06_Chiputo,Tete,FUNAE,TM19,31.67,-14.97,60.00,0.67,0.44,0.14,0.27,2.35,1014.54,2.57,0.00114,307.79
2020,Jan.,15,15,299.30,MZ20,MZ06_Chiputo,Tete,FUNAE,TM20,31.67,-14.97,60.00,0.67,0.44,0.09,0.15,2.32,1014.52,2.57,0.00114,308.09
2020,Jan.,16,16,202.10,MZ21,MZ06_Chiputo,Tete,FUNAE,TM21,31.67,-14.97,60.00,0.67,0.44,0.11,0.17,2.59,1014.49,2.57,0.00114,308.29
2020,Jan.,17,17,485.80,MZ22,MZ06_Chiputo,Tete,FUNAE,TM22,31.67,-14.97,60.00,0.67,0.44,0.08,0.14,2.58,1014.47,2.57,0.00114,308.79
2020,Jan.,18,18,471.80,MZ23,MZ06_Chiputo,Tete,FUNAE,TM23,31.67,-14.97,60.00,0.67,0.44,0.08,0.14,2.27,1014.44,2.57,0.00114,308.99
2020,Jan.,19,19,486.30,MZ24,MZ06_Chiputo,Tete,FUNAE,TM24,31.67,-14.97,60.00,0.67,0.44,0.07,0.13,2.34,1014.43,2.57,0.00114,309.19
2020,Jan.,20,20,426.00,MZ25,MZ06_Chiputo,Tete,FUNAE,TM25,31.67,-14.97,60.00,0.67,0.44,0.07,0.15,2.16,1014.39,2.57,0.00114,308.89
2020,Jan.,21,21,484.00,MZ26,MZ06_Chiputo,Tete,FUNAE,TM26,31.67,-14.97,60.00,0.67,0.44,0.07,0.17,1.73,1014.37,2.57,0.00114,308.69
