Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K)
2020,Jan.,1,1,363.60,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.12,0.28,2.83,1015.32,2.57,0.001139,306.09
2020,Jan.,2,2,199.20,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.11,0.24,2.43,1015.29,2.57,0.001139,306.69
2020,Jan.,3,3,421.20,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.04,0.10,1.49,1015.27,2.57,0.001139,307.09
2020,Jan.,4,4,449.80,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.12,0.25,2.52,1015.24,2.57,0.001139,307.29
2020,Jan.,5,5,55.90,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.06,0.13,3.03,1015.22,2.57,0.001139,307.59
2020,Jan.,6,6,258.10,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.15,0.30,2.76,1014.83,2.57,0.001139,305.19
2020,Jan.,7,7,360.30,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.13,0.29,2.33,1014.81,2.57,0.001139,305.69
2020,Jan.,8,8,447.50,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.09,0.20,1.85,1014.79,2.57,0.001139,306.19
2020,Jan.,9,9,382.90,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.07,0.17,1.52,1014.76,2.57,0.001139,306.59
2020,Jan.,10,10,227.20,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.07,0.18,1.27,1014.73,2.57,0.001139,307.19
2020,Jan.,11,11,220.20,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.08,0.18,2.05,1014.67,2.57,0.001139,307.89
2020,Jan,12,12,168.00,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.12,0.24,2.34,1014.61,2.57,0.001139,307.89
2020,Jan,13,13,244.90,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.10,0.19,2.20,1014.59,2.57,0.001139,307.99
2020,Jan,14,14,361.30,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.14,0.27,2.35,1014.54,2.57,0.001139,307.79
2020,Jan,15,15,416.50,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.09,0.15,2.32,1014.52,2.57,0.001139,308.09
2020,Jan,16,16,422.80,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.11,0.17,2.59,1014.49,2.57,0.001139,308.29
2020,Jan,17,17,595.20,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.08,0.14,2.58,1014.47,2.57,0.001139,308.79
2020,Jan,18,18,458.10,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.08,0.14,2.27,1014.44,2.57,0.001139,308.99
2020,Jan,19,19,482.00,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.07,0.13,2.34,1014.43,2.57,0.001139,309.19
2020,Jan,20,20,284.00,MZ21,MZ21_Choa_1,Manica,MCeL,MCeL 14,33.24,-17.79,60.00,0.6746,0.4407,0.07,0.15,2.16,1014.39,2.57,0.001139,308.89
