Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K),
2020,Jan.,1,1,452.40,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.04,0.07,4.32,957.91,2.60,0.00104,272.99,
2020,Jan.,2,2,339.50,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.06,0.09,4.30,957.76,2.60,0.00104,272.99,
2020,Jan.,3,3,260.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.09,0.14,4.14,957.50,2.60,0.00104,272.99,
2020,Jan.,4,4,469.30,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.03,0.05,4.51,956.97,2.60,0.00104,272.99,
2020,Jan.,5,5,198.53,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.04,0.06,3.85,956.93,2.60,0.00104,272.99,
2020,Jan.,6,6,374.30,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.05,0.07,3.91,956.71,2.60,0.00104,272.99,
2020,Jan.,7,7,288.30,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.10,0.19,1.87,956.41,2.60,0.00104,272.99,
2020,Jan.,8,8,217.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.11,0.23,1.69,955.57,2.60,0.00104,272.99,
2020,Jan.,9,9,244.90,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.10,0.21,1.84,955.65,2.60,0.00104,272.99,
2020,Jan.,10,10,256.20,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.11,0.23,1.38,955.67,2.60,0.00104,272.99,
2020,Jan.,11,11,192.00,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.09,0.18,2.25,955.71,2.60,0.00104,272.99,
2020,Jan.,12,12,195.40,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.11,0.23,2.49,955.73,2.60,0.00104,272.99,
2020,Jan.,13,13,198.70,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.09,0.19,2.36,955.78,2.60,0.00104,272.99,
2020,Jan.,14,14,330.30,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.13,0.27,2.24,955.78,2.60,0.00104,272.99,
2020,Jan.,15,15,396.70,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.18,0.38,2.43,955.83,2.60,0.00104,272.99,
2020,Jan.,16,16,512.10,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.16,0.35,1.98,955.84,2.60,0.00104,272.99,
2020,Jan.,17,17,350.60,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.12,0.26,1.78,955.98,2.60,0.00104,272.99,
2020,Jan.,18,18,451.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.07,0.12,2.24,956.01,2.60,0.00104,272.99,
2020,Jan.,19,19,274.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.07,0.13,2.34,956.01,2.60,0.00104,272.99,
2020,Jan.,20,20,485.50,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.08,0.16,2.26,956.02,2.60,0.00104,272.99,
2020,Jan.,21,21,350.50,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.10,0.22,2.10,956.02,2.60,0.00104,272.99,
2020,Jan.,22,22,361.70,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.26,0.61,2.42,956.03,2.60,0.00104,272.99,
2020,Jan.,23,23,293.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.23,0.51,2.15,957.39,2.60,0.00104,272.99,
2020,Jan.,24,24,285.00,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.22,0.50,1.63,957.35,2.60,0.00104,272.99,
2020,Jan.,25,25,187.60,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.20,0.34,1.74,957.31,2.60,0.00104,272.99,
2020,Jan.,26,26,324.10,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.24,0.51,1.96,957.17,2.60,0.00104,272.99,
2020,Jan.,27,27,449.90,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.20,0.42,1.97,956.49,2.60,0.00104,272.99,
2020,Jan.,28,28,506.20,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.19,0.41,1.78,956.18,2.60,0.00104,272.99,
2020,Jan.,29,29,271.30,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.55,1.28,1.49,957.61,2.60,0.00104,272.99,
2020,Jan.,30,30,154.90,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.10,0.21,1.82,957.44,2.60,0.00104,272.99,
2020,Jan.,31,31,306.00,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.23,0.48,2.47,957.00,2.60,0.00104,272.99,
2020,Feb.,1,32,226.40,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.25,0.48,1.98,956.06,2.60,0.00104,272.99,
2020,Feb.,2,33,528.60,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.29,0.67,2.29,956.06,2.60,0.00104,272.99,
2020,Feb.,3,34,423.00,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.17,0.28,2.53,956.07,2.60,0.00104,272.99,
2020,Feb.,4,35,174.00,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.19,0.34,2.73,956.07,2.60,0.00104,272.99,
2020,Feb.,5,36,329.90,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.13,0.26,2.39,956.09,2.60,0.00104,272.99,
2020,Feb.,6,37,168.60,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.16,0.35,2.56,956.19,2.60,0.00104,272.99,
2020,Feb.,7,38,262.10,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.16,0.33,2.46,956.19,2.60,0.00104,272.99,
2020,Feb.,8,39,227.80,MZ25,MZ25_Massangulo_1,Niassa,TDM,TDM,35.44,-13.91,40.00,0.67,0.44,0.06,0.12,2.20,956.20,2.60,0.00104,272.99,
