Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K)
2020,Jan.,1,1,51.77,MZ24,MZ24_MZ24_Nanhupo_1,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.04,0.07,4.32,957.91,2.60,0.00104,272.99
2020,Jan.,2,2,47.25,MZ24,MZ24_MZ24_Nanhupo_2,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.06,0.09,4.30,957.76,2.60,0.00104,272.99
2020,Jan.,3,3,55.59,MZ24,MZ24_MZ24_Nanhupo_3,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.14,4.14,957.50,2.60,0.00104,272.99
2020,Jan.,4,4,51.37,MZ24,MZ24_MZ24_Nanhupo_4,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.03,0.05,4.51,956.97,2.60,0.00104,272.99
2020,Jan.,5,5,29.22,MZ24,MZ24_MZ24_Nanhupo_5,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.04,0.06,3.85,956.93,2.60,0.00104,272.99
2020,Jan.,6,6,19.88,MZ24,MZ24_MZ24_Nanhupo_6,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.05,0.07,3.91,956.71,2.60,0.00104,272.99
2020,Jan.,7,7,28.32,MZ24,MZ24_MZ24_Nanhupo_7,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.19,1.87,956.41,2.60,0.00104,272.99
2020,Jan.,8,8,35.25,MZ24,MZ24_MZ24_Nanhupo_8,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,1.69,955.57,2.60,0.00104,272.99
2020,Jan.,9,9,20.25,MZ24,MZ24_MZ24_Nanhupo_9,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.21,1.84,955.65,2.60,0.00104,272.99
2020,Jan.,10,10,31.84,MZ24,MZ24_MZ24_Nanhupo_10,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,1.38,955.67,2.60,0.00104,272.99
2020,Jan.,11,11,22.48,MZ24,MZ24_MZ24_Nanhupo_11,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.18,2.25,955.71,2.60,0.00104,272.99
2020,Jan.,12,12,35.91,MZ24,MZ24_MZ24_Nanhupo_12,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.11,0.23,2.49,955.73,2.60,0.00104,272.99
2020,Jan,13,13,32.87,MZ24,MZ24_MZ24_Nanhupo_13,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.09,0.19,2.36,955.78,2.60,0.00104,272.99
2020,Jan,14,14,54.85,MZ24,MZ24_MZ24_Nanhupo_14,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.13,0.27,2.24,955.78,2.60,0.00104,272.99
2020,Jan,15,15,58.98,MZ24,MZ24_MZ24_Nanhupo_15,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.18,0.38,2.43,955.83,2.60,0.00104,272.99
2020,Jan,16,16,57.24,MZ24,MZ24_MZ24_Nanhupo_16,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.16,0.35,1.98,955.84,2.60,0.00104,272.99
2020,Jan,17,17,35.13,MZ24,MZ24_MZ24_Nanhupo_17,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.12,0.26,1.78,955.98,2.60,0.00104,272.99
2020,Jan,18,18,54.9,MZ24,MZ24_MZ24_Nanhupo_18,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.07,0.12,2.24,956.01,2.60,0.00104,272.99
2020,Jan,19,19,53.35,MZ24,MZ24_MZ24_Nanhupo_19,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.07,0.13,2.34,956.01,2.60,0.00104,272.99
2020,Jan,20,20,56.99,MZ24,MZ24_MZ24_Nanhupo_20,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.08,0.16,2.26,956.02,2.60,0.00104,272.99
2020,Jan,21,21,57.1,MZ24,MZ24_MZ24_Nanhupo_21,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.22,2.10,956.02,2.60,0.00104,272.99
2020,Jan,22,22,42.07,MZ24,MZ24_MZ24_Nanhupo_22,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.26,0.61,2.42,956.03,2.60,0.00104,272.99
2020,Jan,23,23,34.94,MZ24,MZ24_MZ24_Nanhupo_23,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.23,0.51,2.15,957.39,2.60,0.00104,272.99
2020,Jan,24,24,49.42,MZ24,MZ24_MZ24_Nanhupo_24,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.22,0.50,1.63,957.35,2.60,0.00104,272.99
2020,Jan,25,25,37.25,MZ24,MZ24_MZ24_Nanhupo_25,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.20,0.34,1.74,957.31,2.60,0.00104,272.99
2020,Jan,26,26,62.55,MZ24,MZ24_MZ24_Nanhupo_26,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.24,0.51,1.96,957.17,2.60,0.00104,272.99
2020,Jan,27,27,43.07,MZ24,MZ24_MZ24_Nanhupo_27,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.20,0.42,1.97,956.49,2.60,0.00104,272.99
2020,Jan,28,28,364.57,MZ24,MZ24_MZ24_Nanhupo_28,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.19,0.41,1.78,956.18,2.60,0.00104,272.99
2020,Jan,29,29,287.76,MZ24,MZ24_MZ24_Nanhupo_29,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.55,1.28,1.49,957.61,2.60,0.00104,272.99
2020,Jan,30,30,291.25,MZ24,MZ24_MZ24_Nanhupo_30,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.10,0.21,1.82,957.44,2.60,0.00104,272.99
2020,Jan,31,31,211.88,MZ24,MZ24_MZ24_Nanhupo_31,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.23,0.48,2.47,957.00,2.60,0.00104,272.99
2020,Feb.,1,32,106.11,MZ24,MZ24_MZ24_Nanhupo_32,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.25,0.48,1.98,956.06,2.60,0.00104,272.99
2020,Feb.,2,33,420.79,MZ24,MZ24_MZ24_Nanhupo_33,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.29,0.67,2.29,956.06,2.60,0.00104,272.99
2020,Feb.,3,34,556.68,MZ24,MZ24_MZ24_Nanhupo_34,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.17,0.28,2.53,956.07,2.60,0.00104,272.99
2020,Feb.,4,35,255.35,MZ24,MZ24_MZ24_Nanhupo_35,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.19,0.34,2.73,956.07,2.60,0.00104,272.99
2020,Feb.,5,36,371.58,MZ24,MZ24_MZ24_Nanhupo_36,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.13,0.26,2.39,956.09,2.60,0.00104,272.99
2020,Feb.,6,37,208.8,MZ24,MZ24_MZ24_Nanhupo_37,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.16,0.35,2.56,956.19,2.60,0.00104,272.99
2020,Feb.,7,38,339,MZ24,MZ24_MZ24_Nanhupo_38,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.16,0.33,2.46,956.19,2.60,0.00104,272.99
2020,Feb.,8,39,714,MZ24,MZ24_MZ24_Nanhupo_39,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.06,0.12,2.20,956.20,2.60,0.00104,272.99
2020,Feb.,9,40,315.65,MZ24,MZ24_MZ24_Nanhupo_40,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.16,0.36,1.90,957.47,2.60,0.00104,272.99
2020,Feb.,10,41,298.96,MZ24,MZ24_MZ24_Nanhupo_41,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.15,0.29,2.00,957.44,2.60,0.00104,272.99
2020,Feb.,11,42,725.511,MZ24,MZ24_MZ24_Nanhupo_42,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.13,0.27,1.75,956.45,2.60,0.00104,272.99
2020,Feb,12,43,417.65,MZ24,MZ24_MZ24_Nanhupo_43,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.15,0.32,1.68,956.40,2.60,0.00104,272.99
2020,Feb,13,44,521.25,MZ24,MZ24_MZ24_Nanhupo_44,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.27,0.53,1.95,956.35,2.60,0.00104,272.99
2020,Feb,14,45,235.06,MZ24,MZ24_MZ24_Nanhupo_45,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.25,0.55,1.80,956.30,2.60,0.00104,272.99
2020,Feb,15,46,453.42,MZ24,MZ24_MZ24_Nanhupo_46,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.21,0.45,1.89,956.10,2.60,0.00104,272.99
2020,Feb,16,47,164.98,MZ24,MZ24_MZ24_Nanhupo_47,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.15,0.34,1.50,960.60,2.58,0.00152,272.99
2020,Feb,17,48,279.8,MZ24,MZ24_MZ24_Nanhupo_48,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.08,0.19,2.05,960.56,2.58,0.00152,272.99
2020,Feb,18,49,484.95,MZ24,MZ24_MZ24_Nanhupo_49,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.13,0.29,2.14,960.53,2.58,0.00152,272.99
2020,Feb,19,50,410.94,MZ24,MZ24_MZ24_Nanhupo_50,Nampula,TDM,TDM,39.51,-15.97,40.00,0.67,0.44,0.12,0.27,2.35,960.29,2.59,0.00160,272.99
