Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K),
2020,Jan.,1,1,334.33,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.05,0.08,4.33,957.92,2.61,0.000945,272.99,
2020,Jan.,2,2,332.28,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.07,0.10,4.31,957.77,2.61,0.000945,272.99,
2020,Jan.,3,3,371.59,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.10,0.15,4.15,957.51,2.61,0.000945,272.99,
2020,Jan.,4,4,184.47,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.04,0.06,4.52,956.98,2.61,0.000945,272.99,
2020,Jan.,5,5,239.19,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.05,0.07,3.86,956.94,2.61,0.000945,272.99,
2020,Jan.,6,6,497.43,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.06,0.08,3.92,956.72,2.61,0.000945,272.99,
2020,Jan.,7,7,420.43,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.11,0.20,1.88,956.42,2.61,0.000945,272.99,
2020,Jan.,8,8,299.70,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.12,0.24,1.70,955.58,2.61,0.000945,272.99,
2020,Jan.,9,9,506.54,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.11,0.22,1.85,955.66,2.61,0.000945,272.99,
2020,Jan.,10,10,46.52,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.12,0.24,1.39,955.68,2.61,0.000945,272.99,
2020,Jan.,11,11,246.15,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.10,0.19,2.26,955.72,2.61,0.000945,272.99,
2020,Jan.,12,12,340.08,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.12,0.24,2.50,955.74,2.61,0.000945,272.99,
2020,Jan.,13,13,484.75,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.10,0.20,2.37,955.78,2.61,0.000945,272.99,
2020,Jan.,14,14,492.14,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.14,0.28,2.25,955.79,2.61,0.000945,272.99,
2020,Jan.,15,15,323.88,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.19,0.39,2.44,955.84,2.61,0.000945,272.99,
2020,Jan,16,16,365.80,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.17,0.36,1.99,955.85,2.61,0.000945,272.99,
2020,Jan,17,17,402.13,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.13,0.27,1.79,955.99,2.61,0.000946,272.99,
2020,Jan,18,18,286.15,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.08,0.13,2.25,956.02,2.61,0.000946,272.99,
2020,Jan,19,19,138.67,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.08,0.14,2.35,956.02,2.61,0.000946,272.99,
2020,Jan,20,20,498.50,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.09,0.17,2.27,956.03,2.61,0.000946,272.99,
2020,Jan,21,21,252.21,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.11,0.23,2.11,956.03,2.61,0.000946,272.99,
2020,Jan,22,22,350.84,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.27,0.62,2.43,956.04,2.61,0.000946,272.99,
2020,Jan,23,23,296.00,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.24,0.52,2.16,957.40,2.61,0.000946,272.99,
2020,Jan,24,24,296.00,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.23,0.51,1.64,957.36,2.61,0.000946,272.99,
2020,Jan,25,25,491.27,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.21,0.35,1.75,957.32,2.61,0.000946,272.99,
2020,Jan,26,26,466.76,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.25,0.52,1.97,957.18,2.61,0.000946,272.99,
2020,Jan,27,27,410.92,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.21,0.43,1.98,956.50,2.61,0.000946,272.99,
2020,Jan,28,28,304.39,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.20,0.42,1.79,956.19,2.61,0.000946,272.99,
2020,Jan,29,29,369.02,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.56,1.29,1.50,957.62,2.61,0.000946,272.99,
2020,Jan,30,30,215.71,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.11,0.22,1.83,957.45,2.61,0.000946,272.99,
2020,Jan,31,31,200.96,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.24,0.49,2.48,957.01,2.61,0.000946,272.99,
2020,Feb.,1,32,183.56,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.26,0.49,1.98,956.07,2.61,0.000946,272.99,
2020,Feb.,2,33,222.72,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.30,0.68,2.30,956.07,2.61,0.000946,272.99,
2020,Feb.,3,34,497.99,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.18,0.29,2.54,956.08,2.61,0.000946,272.99,
2020,Feb.,4,35,215.09,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.20,0.35,2.74,956.08,2.61,0.000946,272.99,
2020,Feb.,5,36,324.41,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.14,0.27,2.40,956.10,2.61,0.000946,272.99,
2020,Feb.,6,37,513.65,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.17,0.36,2.57,956.20,2.61,0.000946,272.99,
2020,Feb.,7,38,178.07,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.17,0.34,2.47,956.20,2.61,0.000946,272.99,
2020,Feb.,8,39,357.07,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.07,0.13,2.21,956.21,2.61,0.000946,272.99,
2020,Feb.,9,40,338.81,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.17,0.37,1.91,957.48,2.61,0.000946,272.99,
2020,Feb.,10,41,263.05,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.16,0.30,2.01,957.45,2.61,0.000946,272.99,
2020,Feb.,11,42,352.99,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.14,0.28,1.76,956.46,2.61,0.000946,272.99,
2020,Feb.,12,43,354.04,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.16,0.33,1.69,956.41,2.61,0.000946,272.99,
2020,Feb.,13,44,199.57,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.28,0.54,1.96,956.36,2.61,0.000946,272.99,
2020,Feb,14,45,445.42,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.26,0.56,1.81,956.31,2.61,0.000946,272.99,
2020,Feb,15,46,477.11,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.22,0.46,1.90,956.11,2.61,0.000946,272.99,
2020,Feb,16,47,514.69,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.16,0.35,1.51,960.61,2.59,0.001435,272.99,
2020,Feb,17,48,197.96,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.09,0.20,2.06,960.57,2.59,0.001435,272.99,
2020,Feb,18,49,455.50,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.14,0.30,2.15,960.54,2.59,0.001435,272.99,
2020,Feb,19,50,255.23,MZ03,MZ03_Ocua,Cabo delgado,TDM,TDM,39.39,-11.55,60.00,0.67,0.44,0.13,0.28,2.36,960.30,2.60,0.001506,272.99,
