Year,Month,Date,date,GHI,ID,Station,Province,Tower,Code,Long (X),Lat. (Y),Altitude,WV_AOT(675_nm),WV_AOT(440_nm),AOT(675_nm),AOT(440_nm),PW(cm),Pre(mbars),O3(cm),N(cm),Temp_(K)
2020,Sep.,1,241,358.10,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.47,1.01,2.40,1012.36,2.80,0.002073,298.09
2020,Sep.,2,242,201.10,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.48,0.83,3.22,1012.02,2.80,0.002074,300.49
2020,Sep.,3,243,333.10,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.20,0.36,2.44,1011.90,2.80,0.002074,301.49
2020,Sep.,4,244,478.20,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.20,0.38,2.55,1011.82,2.80,0.002074,302.19
2020,Sep.,5,245,161.30,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.29,0.49,2.89,1011.72,2.80,0.002074,302.89
2020,Sep.,6,246,461.00,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.21,0.39,2.03,1011.54,2.80,0.002074,303.49
2020,Sep.,7,247,463.20,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.34,0.67,2.24,1011.35,2.80,0.002074,304.19
2020,Sep.,8,248,442.50,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.54,1.08,2.91,1011.17,2.80,0.002074,305.49
2020,Sep.,9,249,421.10,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.70,1.41,2.63,1010.99,2.80,0.002074,306.59
2020,Sep.,10,250,401.70,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.87,1.96,2.29,1010.80,2.80,0.002074,307.49
2020,Sep.,11,251,274.30,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.82,1.59,3.52,1010.62,2.80,0.002074,307.69
2020,Sep.,12,252,430.70,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.34,0.68,3.16,1010.43,2.80,0.002074,308.59
2020,Sep.,13,253,452.50,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.33,0.64,2.51,1010.25,2.80,0.002074,309.09
2020,Sep.,14,254,494.00,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.30,0.63,2.80,1010.07,2.80,0.002074,309.49
2020,Sep.,15,255,497.00,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.25,0.53,2.47,1009.70,2.80,0.002074,310.49
2020,Sep.,16,256,385.70,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.31,0.50,3.19,1009.52,2.80,0.002074,310.79
2020,Sep.,17,257,258.30,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.15,0.26,2.78,1009.33,2.80,0.002074,311.29
2020,Sep.,18,258,533.40,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.19,0.35,2.74,1009.15,2.80,0.002074,311.59
2020,Sep.,19,259,533.70,MZ11,MZ11_Vanduzi,Sofala,FUNAE,TM11,35.04,-19.73,60.00,0.68,0.44,0.17,0.32,2.57,1008.96,2.80,0.002074,311.29
